XX	When my old Sears vac died , I decided to try the Shop-Vac 610 - it looked strong and the stainless steel tank looked like it would last forever . One thing I neglected to check on was POWER . This machine is light duty , and I should have known the small hose size was indicative of its capability - it is not nearly as powerful as the old , noisy Sears unit . If anyone will make me an offer for this unit , I would like to upgrade to something that really performs like a shop vac should .
XX	These bags are the finast vacuum bags ever ....EVER ! So , if you need to vacuum fruitcake out of carpets , floors , or dog houses [where I stash mine ! ]....these bags are for you ! They truly offer superior sucking action [can I say that here ? ] . Seriously , I 've noticed that running my vacuum with these bags takes the cig-smoke out of the air ! Pretty impressive ! ! ! cheers ! SR...pro-reviewer
XX	I needed replacements for my air cleaner . No big deal , right ? Well it should n't have been , but wait till you check the prices for your Holmes air filter replacements . The operating expense of this unit for a year almost equals the initial amount paid for the whole unit . This complaint aside the two pack I got from Amazon is the best pricing I could find . My three star rating is more directed at the idea that Holmes has you over a barrel than the service I received from Amazon which I would have given a five star to .
XX	I 've had an older Jiffy Steamer for about 20 years , and it 's always worked like a champ . I 'm a professional photo stylist , so I use it a lot , and have taken it on many trips , so it 's been shipped just about everywhere . Finally decided to get a newer model , which is much lighter , thus less expensive to ship . I love it , works as great as the last one .
XX	Ive had this fridge for about 3 yrs now - i got this when i was 17 or 18 and it still works great and is worth the money . Its perfect for teenager or college students dorm . Ive had this in the bedroom since then and i have gotten compliments on it and how cool it was and its good to store some drinks and you can have a decent amount of food or other things in there but it is perfect size for the bedroom but inside it is small to medium storage capacity - but for its smallness it is very powerful and keeps drinks and other things ice cold and also comes with a little freezer compartment which is also very powerful- id say it can hold about a case of drinks or case and half and some room for food - its better for storing drinks . But overall good little fridge with lots of power and nice silver design .
XX	Earlier reviews complained about difficulty in finding a button for mulching . I guess they were right ; I could n't find one . The instructions just say the leaves will be mulched as they go through the impeller . After vacuuming a bunch of leaves and dumping them into a recycle bin , I could n't really see any evidence of mulching . The blower and vacuum work very well , however . Do n't make the mistake of trying to vacuum leaves from loose dirt ; you 'll suck up a lot of dirt . Blow the leaves into a pile and then vacuum them . Still , I like this tool . It 's much quieter and easier to use than my gas blower .
XX	I bought many of the OXO Good Grips kitchen gadgets for my wife to replace an assortment of older items that had just lost their looks , and so forth . This stainless slotted spoon as with all of the OXO Good Grips items we bought feels great in your hand , is well made and looks great . I would recommend the OXO Good Grips items to any of my family and friends , as a very nice home kitchen utensils set .
XX	For the reviewers that complained that they needed to go back to the vac to manually turn off the unit when using the "on-demand " feature , you need to return the unit to be repaired . My vac works perfectly when using the on demand feature . It has a delay of about 6 or 7 seconds before shutting off . This delay is a built in feature that allows the hose to clear itself before shutting down . I think most of the problems mentioned in the reviews have come from not reading the instructions ( I must admit , I 'm guilty of this myself from time to time ) . As far as clogging , all vacs with and 1 1/2 " hose will clog from wood chips . I invested in the larger hoses that amazon offers , and they fit perfectly into the vac intake . As far as the tool end connection to the hose , this is where good old yankee ingenuity will help . There are rubber fittings available that are " stepped " in size to accomadate different diameter connections , this item does n't work on all connections , but most . I did have to have the on-demand switch replaced after about 9 months of use ( reason for the 4 stars ) , but other than that this vac has performed extremely well . My main use of the vac is dust collection while being attached to my Bosch orbital sander . It picks up about 95 % of the dust , which is a huge improvement over using the attached cloth bags that come with some sanders . I have several of my shop power tools pre-fitted with vac hoses , and simply wheel the vac from tool to tool when needed . This vac is a great alternative to investing in a dust collection system , and all that goes with it , when you do n't have the room or the budget .
XX	I should qualify my 5 stars , because there 's not a juice extractor on this planet that is perfect -- they all have pros and cons . But the price , quality and convenience of this one makes it a winner . This juicer is similar to , and just as good as , the original Acme/Omega juicers . Sure , the yield on leafy greens is n't the best , but it does carrots , beets & celery as well an any other juicer -- and quickly , too . The yield is far better than the extractors that spit out the pulp right away . I 've been juicing on-and-off for the last decade , and I like that the parts for this juicer store easily while the food processor stays on my counter . BTW , if the juicer starts to rattle or spin , adding another carrot firmly will usually solve the problem .
XX	This attachment is EXCELLENT and doing organic appleasauce couldnt be easier . It 's easy to put together and the results are amazing . I core my apples , and from what I 've been told , that 's not even necessary although I still do it out of habit . Then boil them for a few minutes and drop them into the feed and out comes perfect applesauce . I did well over 20 quarts this year and my kids gobble it up , all organic and sugar free . They REQUEST it for snack ! Thanks KitchenAid ! By the way , this is Brians wife ...lol !
XX	The reason for a low rating is that I did not receive all the parts for a complete unit . I have not been able to use any part of this because I am missing the butterfly that goes on the end of the auger . I have tried to return this . It cost more to send it back and has been a hassle to contact anyone who will listen . Buying from this company is a joke .
XX	Be sure you match up the sizing of your coffee maker before buying this filter . There are many different sizes . For this filter it states directly on the box : Fits Krups coffee Makers Model Numbers : 252 , 466 , 467 , 458 , and 144.. Check out the Krups website just to be sure you have the correct size before placing your order with Amazon. . Filter came as stated . . I just did n't do my research before placeing the order. . re-ordering the correct size . .
XX	My municipal water is so horrible I will have to replace the wick annually . Keeps my 2000 sq ft house at about 40 percent throughout the winter .
XX	We bought this product , as part of our Dr. Weil '8 Weeks to Optimum Health ' regimen . And , we really love it . During the winter , when the bedroom gets so dry , the humidifier really does the trick . And , it may be in our heads , but the air really does seem to be cleaner than in the rest of the house .<p>This product has great air quality ratings ( HEPA , etc. ) relative to other products in its price range , and was easy to set up , etc.<p>Our only gripe is that it is a bit of a pain to clean . You need to take it all apart , etc . However , this may be the case with all of these products , and thus , may just be par for the course .<p>We recommend this product whole-heartedly .
